amusementpark_name,city,state
Adventureland, Alabama, Alabama
Alabama Splash Adventure|Alabama Adventure & Splash Adventure,Bessemer, Alabama
Park at OWA,Foley, Alabama
Spring Park (amusement park)|Spring Park,Tuscumbia, Alabama
Track Family Fun Park,Gulf Shores, Alabama
Waterville USA,Gulf Shores, Alabama
Roadrunner Amusement Park,Anchorage, Alaska
Castles N' Coasters,Phoenix, Arizona
Enchanted Island (amusement park)|Enchanted Island,Phoenix, Arizona
Funtasticks Family Fun Park,Tucson, Arizona
Schnepf Farms,Queen Creek, Arizona
Wildlife World,Litchfield Park, Arizona
Fast Lane Entertainment,Lowell, Arkansas
Funland Amusement Park (Little Rock, Arkansas|Funland Amusement Park, Arkansas
Magic Springs and Crystal Falls,Hot Springs, Arkansas
Adventure City,Anaheim, California
Alpine Slide at Magic Mountain,Big Bear Lake, California
Belmont Park (San Diego)|Belmont Park,San Diego,California
Blackbeard's Family Entertainment Center,Fresno, California
Boomers! Parks|Boomers,Irvine, California
California's Great America,Santa Clara, California
Castle Park (Amusement Park)|Castle Amusement Park,Riverside, California
Children's Fairyland,Oakland, California
Disney California Adventure,Anaheim, California
Disneyland,Anaheim, California
Fiesta Village Family Fun Park,Colton, California
William Land Park|Funderland Amusement Park,Sacramento, California
Fun Town at Micke Grove,Lodi, California
Gilroy Gardens|Gilroy Gardens Family Theme Park,Gilroy, California
Golf 'N' Stuff,Norwalk, California
Golfland,Anaheim, California
Happy Hollow Park and Zoo,San Jose, California
Heavenly Mountain Resort,South Lake Tahoe, California
John's Incredible Pizza Company,Carson, California
Kiwanis Kiddieland,Merced, California
Knott's Berry Farm,Buena Park, California
Legoland California,Carlsbad, California
Mountasia Family Fun Center,Valencia, California
Pacific Park,Santa Monica, California
Pixieland Amusement Park,Concord, California
Rotary Storyland and Playland,Fresno, California
Santa Cruz Beach Boardwalk,Santa Cruz, California
SeaWorld San Diego,San Diego, California
Sesame Place,Chula Vista, California
Scandia Amusements|Scandia Family Fun Center,Sacramento, California
Six Flags Discovery Kingdom,Vallejo, California
Six Flags Magic Mountain,Valencia, California
SkyPark at Santa's Village,Skyforest, California
Sonoma TrainTown Railroad,Sonoma, California
SpeedZone Los Angeles,Los Angeles, California
Universal Studios Hollywood,Universal City, California
Aspen Snowmass Ski Resort,Snowmass Village, Colorado
Breckenridge Ski Resort,Breckenridge, Colorado
City Park (Pueblo, Colorado|City Park, Colorado
Copper Mountain (Colorado)|Copper Mountain,Frisco, Colorado
Elitch Gardens Theme Park|Elitch Gardens,Denver,Colorado
Glenwood Caverns Adventure Park,Glenwood Springs, Colorado
Lakeside Amusement Park,Lakeside, Colorado
Mile High Flea Market,Henderson, Colorado
Purgatory Resort,Durango, Colorado
Santa's Workshop (Colorado)|Santa's Workshop,Cascade, Colorado
Steamboat Resort,Steamboat Springs, Colorado
Vail Adventure Ridge,Vail, Colorado
Lake Compounce,Bristol, Connecticut
Ocean Beach Park (amusement park)|Ocean Beach Park,New London, Connecticut
Quassy Amusement Park,Middlebury, Connecticut
Funland (Rehoboth Beach, Delaware|Funland, Delaware
Jungle Jim's Adventure World,Rehoboth Beach, Delaware
Adventure Landing,Jacksonville Beach, Florida
*Andretti Thrill Park,Melbourne, Florida
