beach_name,state
*Dauphin Island, Alabama
*Gulf Shores, Alabama
*Orange Beach, Alabama
*Homer, Alaska
*Black Sand Beach (Barry Arm), Alaska
*Goose Lake (Anchorage), Alaska
*Kincaid Park|Kincaid Beach, Alaska
*Nome, Alaska
*Nunathloogagamiutbingoi Dunes, Alaska
*Aliso Creek (Orange County)#Recreation|Aliso Creek Beach, Alaska
*Black's Beach, Alaska
*Capistrano Beach, Alaska
*Carlsbad, California
*Carmel-by-the-Sea, California
*Carpinteria, California
*Children's Pool Beach, California
*Corona del Mar, California
*Coronado, California
*Dana Point, California
*Del Mar, California
*Encinitas, California
*Grover Beach, California
*Hermosa Beach, California
*Huntington Beach, California
*Imperial Beach, California
*La Jolla, California
*La Jolla Cove, California
*La Jolla Shores, California
*Laguna Beach, California
*Long Beach, California
*Malibu, California
*Manhattan Beach, California
*Mission Beach, California
*Monterey, California
*Morro Bay, California
*Newport Beach, California
*Ocean Beach, California
*Ocean Beach, California
*Oceanside, California
*Oxnard, California
*Pacific Beach, California
*Pacific Grove, California
*Palos Verdes Estates, California
*Redondo Beach, California
*San Clemente, California
*San Onofre State Beach|San Onofre Beach, California
*San Pedro, California
*Santa Barbara, California
*Santa Cruz, California
*Santa Monica, California
*Seal Beach, California
*Solana Beach, California
*Sunset Beach, California
*Surfside, California
*Torrance, California
*Ventura, California
*Venice, California
*Seal Beach, California
*Calf Pasture Beach, East Norwalk
*Fairfield, Connecticut
*Hammonasset Beach State Park, Connecticut
*Pleasure Beach, Connecticut
*Rocky Neck State Park, Connecticut
*Sherwood Island State Park, Connecticut
*Silver Sands State Park, Connecticut
{{Main|List of beaches in Delaware}}, Connecticut
{{div col|colwidth=22em}}, Connecticut
*Bowers, Delaware
*Slaughter Beach, Delaware
*Broadkill Beach, Delaware
*Lewes, Delaware
*Cape Henlopen State Park|Cape Henlopen, Delaware
*Henlopen Acres, Delaware
*Rehoboth Beach, Delaware
*Dewey Beach, Delaware
*Coin Beach, Delaware
*Delaware Seashore State Park, Delaware
*Bethany Beach, Delaware
*Middlesex Beach, Delaware
*South Bethany, Delaware
*Fenwick Island, Delaware
*Atlantic Beach, Florida
*Bahia Honda Key, Florida
*Beverly Beach, Florida
*Boca Chica Key|Boca Chica, Florida
*Boca Raton, Florida
*Boynton Beach, Florida
*Butler Beach, Florida
*Clearwater, Florida
*Cocoa Beach, Florida
*Crescent Beach, Florida
*Dania Beach, Florida
*Daytona Beach, Florida
*Destin, Florida
*Fernandina Beach, Florida
*Fort Myers Beach, Florida
*Fort Walton Beach, Florida
*Flagler Beach, Florida
*Grayton Beach, Florida
*Gulf Stream, Florida
*Gulf Breeze, Florida
*Hallandale Beach, Florida
*Haulover Park, Florida
*Highland Beach, Florida
*Hillsboro Beach, Florida
*Hobe Sound, Florida
*Hollywood, Florida
*Hollywood Beach, Florida
*Holmes Beach, Florida
*Indialantic, Florida
*Indian Harbour Beach, Florida
*Indian River Shores, Florida
*Indian Rocks Beach, Florida
*Jacksonville Beach, Florida
*Jensen Beach, Florida
*Juno Beach, Florida
*Jupiter, Florida
*Key Biscayne, Florida
*Key Largo, Florida
*Key West, Florida
*Lake Worth, Florida
*Madeira Beach, Florida
*Marathon, Florida
*Marco Island, Florida
*Melbourne Beach, Florida
*Miami Beach, Florida
*Miramar Beach, Florida
*Moorings Village, Florida
*Naples, Florida
*Navarre Beach, Florida
*New Smyrna Beach, Florida
*Neptune Beach, Florida
*North Palm Beach, Florida
*Orchid, Florida
*Ormond Beach, Florida
*Palm Beach, Florida
*Palm Beach Shores, Florida
*Palm Coast, Florida
*Panama City Beach, Florida
*Pensacola Beach, Florida
*Perdido Key, Florida
*Pompano Beach, Florida
*Ponce Inlet, Florida
*Ponte Vedra Beach, Florida
*Riviera Beach, Florida
*Royal Palm Beach, Florida
*Santa Rosa Beach, Florida
*Satellite Beach, Florida
*Sarasota, Florida
*Seaside, Florida
*Siesta Key, Florida
*Marathon, Florida
*South Beach, Florida
*St. Augustine Beach, Florida
*St. George Island (Florida)|St. George Island Beach, Florida
*St. Pete Beach, Florida
*Stuart, Florida
*Sunny Isles Beach, Florida
*Tigertail Beach, Florida
*Vanderbilt Beach, Florida
*Vero Beach, Florida
*Vilano Beach, Florida
*Wabasso Beach, Florida
*John C. Beasley Park, Florida
*Cumberland Island, Florida
*Jekyll Island, Florida
*St. Simons, Georgia
*Sapelo Island,
*Sea Island, Georgia
*Tybee Island, Georgia
*Faifai Beach Site|Faifai Beach,Hawaii
*First Beach,Hawaii
*Gun Beach<ref name=“Guam”/>,Hawaii
*Haputo Beach Site|Haputo Beach,Hawaii
*Ipan|Ipan Beach<ref name=“Guam”/>,Hawaii
*Mushroom Rock Hilaan Beach,Hawaii
*Guam National Wildlife Refuge|Ritidian Beach<ref name=“Guam”/>,Hawaii
*Shark Cove Beach<ref name=“Guam”/>,Hawaii
*Tagachang Beach<ref name=“Guam”/>,Hawaii
*Tanguisson Beach<ref name=“Guam”/>,Hawaii
*Tumon,Hawaii
*Ypao Beach,Hawaii
File:Fleming Beach,Hawaii
{{See also|List of beaches in Hawaii}},Hawaii
*D.T. Fleming Beach,Hawaii
*H??ena State Park|Kee Beach,Hawaii
*Hanauma Bay|Hanauma Bay Nature Preserve,Hawaii
*Hapuna Beach State Recreation Area,Hawaii
*Kaanapali,Hawaii
*Kahaluu Bay|Kahulu’u Beach Park,Hawaii
*Kailua,Hawaii
*Kaunaoa Bay|Mauna Kea Beach,Hawaii
*Kekaha Kai State Park|Kekaha Kai Beach,Hawaii
*Lumaha'i Beach ,Hawaii
*Papakolea Beach|Green Sands Beach,Hawaii
*Punalu?u Beach|Punalu?u Beach (Black Sand Beach),Hawaii
*Sunset Beach (Oahu)|Sunset Beach,Hawaii
*Waimea Bay,Hawaii
*Waikiki|Waikiki Beach,Hawaii
*Bear Lake State Park (Idaho)|Bear Lake State Park (North Beach State Park),Idaho
*Coeur d’Alene, Idaho
{{See also|List of beaches in Chicago}}, Idaho
*Illinois Beach State Park, Idaho
*Indiana Dunes National Park, Idaho
*Whihala Beach County Park, Idaho
*Grand Isle, Louisiana
*Holly Beach, Louisiana
{{See also|List of beaches in Maine}}, Louisiana
*Higgins Beach, Louisiana
*Old Orchard Beach, Maine
*Reid State Park, Maine
*Pine Point Beach, Maine
*Ocean City, Maryland
*Assateague Island, Maryland
File:Gay Head cliffs MV.JPG|thumb|right|Aquinnah, Massachusetts
{{See also|List of beaches in Massachusetts}}, Massachusetts
*Bumpkin Island, Massachusetts
*Cape Cod National Seashore, Massachusetts
*Castle Island (Massachusetts)|Castle Island, Massachusetts
*Craigville Beach, Massachusetts
*Crane Beach, Massachusetts
*Duxbury Beach, Massachusetts
*Lovells Island, Massachusetts
*Marconi Beach, Massachusetts
*Martha's Vineyard, Massachusetts
*Monument Beach, Massachusetts
*Nantasket Beach, Massachusetts
*Nantucket, Massachusetts
*Nauset Beach, Massachusetts
*Provincetown, Massachusetts
*Revere Beach, Massachusetts
*Round Hill (Dartmouth, Massachusetts
*Savin Hill|Savin Hill Beach, Massachusetts
*Spectacle Island (Massachusetts)|Spectacle Island, Massachusetts
*West Beach, Massachusetts
*Winthrop Beach, Massachusetts
*Wollaston Beach, Massachusetts
*Yirrell Beach, Massachusetts
*Duck Lake State Park, Massachusetts
*Grand Haven State Park|Grand Haven Beach, Massachusetts
*Hoffmaster State Park, Massachusetts
*Holland State Park|Holland Beach, Massachusetts
*McLain State Park, Massachusetts
*Muskegon State Park|Muskegon Beach, Massachusetts
*Orchard Beach State Park|Orchard Beach, Massachusetts
*Pere Marquette Beach|Pere Marquette Park Beach, Massachusetts
*Saugatuck, Michigan
*Saugatuck Dunes State Park|Saugatuck Dunes Beach, Michigan
*Sleeping Bear Dunes National Lakeshore, Michigan
*South Haven, Michigan
*Van Buren State Park (Michigan)|Van Buren State Park, Michigan
*Warren Dunes State Park|Warren Dunes Beach, Michigan
*Metro Beach, Michigan
*Biloxi, Mississippi
*Gulfport, Mississippi
*Long Beach, Mississippi
*Ocean Springs, Mississippi
*Pascagoula, Mississippi
*Whitefish Lake (Montana)|Whitefish City Beach, Mississippi
*Whitefish Lake State Park,Nevada
*Nevada Beach|Nevada Beach (Lake Tahoe),Nevada
*Lake Tahoe – Nevada State Park|Sand Harbor Beach (Lake Tahoe)<ref name=“Nevada”/>,Nevada
*Whale Beach (Nevada)|Whale Beach (Lake Tahoe),Nevada
{{See also|List of beaches in New Hampshire}},Nevada
*Hampton Beach, New Hampshire
*Rye Beach, New Hampshire
*Seabrook Beach, New Hampshire
*Wallis Sands State Beach, New Hampshire
{{See also|Jersey Shore}}, New Hampshire
*Allenhurst, New Jersey
*Asbury Park, New Jersey
*Atlantic City, New Jersey
*Avalon, New Jersey
*Avon-by-the-Sea, New Jersey
*Barnegat Light, New Jersey
*Bay Head, New Jersey
*Beach Haven, New Jersey
*Belmar, New Jersey
*Bradley Beach, New Jersey
*Brick Township, New Jersey
*Brigantine, New Jersey
*Cape May, New Jersey
*Cape May Point, New Jersey
*Corson's Inlet State Park (Strathmere, New Jersey
*Deal, New Jersey
*Gunnison Beach, New Jersey
*Harvey Cedars, New Jersey
*Island Beach State Park (Berkeley Township, New Jersey
*Lavallette, New Jersey
*Loch Arbour, New Jersey
*Long Beach Township, New Jersey
*Long Branch, New Jersey
*Longport, New Jersey
*Manasquan, New Jersey
*Mantoloking, New Jersey
*Margate City, New Jersey
*Monmouth Beach, New Jersey
*North Wildwood, New Jersey
*Ocean City, New Jersey
*Ocean Grove, New Jersey
*Dover Beaches South, New Jersey
*Point Pleasant Beach, New Jersey
*Sandy Hook (Highlands, New Jersey
