festival_name,state
* Burning Man, Nevada
* Coney Island Mermaid Parade, New York
* Exotic Erotic Ball, California
* How Weird Street Faire, California
* King Mango Strut, Florida
* New York's Village Halloween Parade, New York
* Porcupine Freedom Festival, New Hampshire
* Roswell UFO Festival, New Mexico
* Sawdust Art Festival, California
* SLUG Queen, Oregon
* Allentown Arts Festival, New York
* Amish Acres Arts & Crafts Festival, Indiana
* Ann Arbor Art Fairs, Michigan
* Bayou City Art Festival,Texas
* Catoctin Colorfest, Maryland
* Central Pennsylvania Festival of the Arts, Pennsylvania
* Cherry Creek Arts Festival, Denver
* Detroit Festival of the Arts, Detroit
* Dogwood Arts Festival, Tennessee
* Festival of the Arts, Michigan
* Half Moon Bay Art and Pumpkin Festival, California
* Harvest of the Arts, Pennsylvania
* La Quinta Arts Festival, California
* Lake Eden Arts Festival, North Carolina
* St. James Art Fair, Kentucky
* Sawdust Art Festival , California
* Summer Camp Music Festival, Illinois
* Vermont Quilt Festival (VQF),Vermont
* Great American Beer Festival (established 1982), Colorado
* Houston Beer Festival, Texas
* Oregon Brewers Festival (established 1988), Oregon
* Cheeseburger in Caseville, Michigan
* ComFest, Ohio
* Friendship Festival, New York and Fort Erie
* Gasparilla Pirate Festival, Florida
* Hessler Street Fair, Ohio
* Minneapolis Aquatennial, Minnesota
* Pecan Street Festival, Texas
* Red River Revel, Louisiana
* Saint Paul Winter Carnival, Minnesota
* Aloha Festivals,Hawaii
* Arlington International Film Festival, Massachusetts
* Borderfest, Texas
* Cleveland Feast of the Assumption Festival, Ohio
* Dublin Irish Festival, Ohio
* Feast of San Gennaro, New York
* Festival Latinoamericano, Utah
* Folkmoot, North Carolina
* Greek Food Festival of Dallas, Texas
* Hungarian Festival, New Jersey
* Indy Irish Festival, Indiana
* International Children's Festival, DC
* Italian Heritage Festival, West Virginia
* Johnny Appleseed Festival, Indiana
* Kansas City Irish Fest, Missouri
* Little Italy Festival, Indiana
* Lowell Folk Festival, Massachusetts
* New Jersey Folk Festival, New Jersey
* New Orleans Jazz & Heritage Festival, Louisiana
* Nisei Week, Los Angeles
* North Texas Irish Festival, Texas
* Northwest Folklife Festival, Washington
* Pepper Jelly Festival, Alabama
* Pittsburgh Folk Festival, Pennsylvania
* Portugal Day Festival in Newark, New Jersey
* Riverfront Irish Festival, Ohio
* Taste of Polonia, Illinois
* Texas Folklife Festival, Texas
* Tulip Time Festival, Michigan
* World of Nations Celebration, Florida
* World's Largest Disco, New York
* Ypsilanti Heritage Festival, Michigan
* NY Green Fest , New York
* Alabama Shakespeare Festival , Alabama
* Allentown Art Festival , New York
* Arizona Renaissance Festival , Arizona
* Artscape (festival),Maryland
* Bristol Renaissance Faire , Wisconsin
* Carolina Renaissance Festival , North Carolina
* Central Pennsylvania Festival of the Arts , Pennsylvania
* Curtain Up! , New York
* Grand Cities Art Fest , Minnesota
* Kansas City Renaissance Festival , Kansas
* Maryland Renaissance Festival, Maryland
* MasterWorks Festival , Ohio
* Minnesota Renaissance Festival , Minnesota
* New York Renaissance Faire , New York
* North Carolina School of the Arts Summer Performance Festival , North Carolina
* Oregon Shakespeare Festival , Oregon
* The River To River Festival , New York
* Savannah Music Festival, Georgia
* Sterling Renaissance Festival , New York
* True/False Film Festival , Missouri
* Utah Shakespearean Festival , Utah
* International Cherry Blossom Festival, Georgia
* Lilac Festival (New York), New York
* Lompoc Valley Flower Festival, California
* National Cherry Blossom Festival, D.C.
* Philadelphia Flower Show, Pennsylvania
* Portland Rose Festival, Oregon
* Seattle Hempfest, Washington
* Shenandoah Apple Blossom Festival, Virginia
* Texas Rose Festival, Texas
* Tulip Festival, Michigan
* Washington State Apple Blossom Festival, Washington
* California Poppy Festival, California
"* Applefest (Bayfield, Wisconsin)",Wisconsin
* Banana split,Ohio
* Barnesville Pumpkin Festival, Ohio
* Brushy Mountain Apple Festival, North Carolina
* Circleville Pumpkin Show, Ohio
* Festival of the Fish, Ohio
* Florida food festivals,Florida
* Gilroy Garlic Festival, California
* Half Moon Bay Art and Pumpkin Festival, California
* Jackson County Apple Festival, Ohio
* Kentucky Apple Festival, Kentucky
* Lexington Barbecue Festival, North Carolina
* Louisiana Fur and Wildlife Festival, Louisiana
* Morton Pumpkin Festival, Illinois
* National Buffalo Wing Festival, New York
* National Cherry Festival, Michigan
* National Cornbread Festival National Cornbread Festival, Tennessee
* North Carolina Wine Festival, North Carolina
* Norwalk Oyster Festival, Connecticut
* Parker County Peach Festival, Texas
* Paso Robles Wine Festival, California
* Roanoke-Chowan Pork-Fest, North Carolina
* Schmeckfest, South Dakota
* Strawberry Festival, Texas
* Sweet Corn Festival, Ohio
* Taste of Buffalo, New York
* Taste of Chicago, Illinois
* A Taste of Colorado,Colarado
* West Side Nut Club Fall Festival, Indiana
* Yadkin Valley Wine Festival , North Carolina
* Yambilee Festival, Louisiana
* Christmas on the River, Alabama
* New Orleans Mardi Gras, Louisiana
* Spirit of America Festival, Alabama
* One Spark crowdfunding festival, Florida
* Capital Pride (Washington),Washington DC
* Fantasia Fair, Massachusetts
* Frameline, California
* Newfest, New York City
* Outfest, California
* PeaceOUT World Homo Hop Festival, California
* Southern Decadence, Louisiana
* Utah Pride Festival, Utah
* White Party, California
* Faerieworlds, Oregon
* Heartland Pagan Festival, Kansas
* Pagan Spirit Gathering , Missouri
* Starwood Festival, Ohio
* Days of '47 Parade, Utah
* Pioneer Days (Ohio), Ohio
* Pioneer Day (Utah),Utah
* Cornerstone Festival, Illinois
* Creation Festival, Pennsylvania 
* LifeLight Festival, South Dakota
* Sonshine Festival, Minnesota
* Vaisakhi, California
* Wild Goose Festival, North Carolina
* X-Day (Church of the SubGenius), Ohio
* Days of '47 Rodeo, Utah
* Houston Livestock Show and Rodeo, Texas
* Kentucky Derby Festival, Kentucky
* Trenton Computer Festival,New Jersey
* World Science Festival,NewYork
* Shenandoah Apple Blossom Festival, Virginia
* Evansville Freedom Festival – , Indiana
"* IceArt Festival – Carlisle, Pennsylvania", Pennsylvania
"* Memphis in May – Memphis, Tennessee", Tennessee
"* Sawdust Art Festival –  Laguna Beach, California ", California 
"* Three Rivers Festival – Fort Wayne, Indiana", Indiana
"* West Side Nut Club Fall Festival – Evansville, Indiana", Indiana
"* Woollybear Festival – Vermilion, Ohio", Ohio
* Arnold Sports Festival, Ohio
* Bridge Day, West Virginia
* The Steam Festival, California
* National Storytelling Festival, Tennessee
* Southern Ohio Storytelling Festival, Ohio
* Timpanogos Storytelling Festival, Utah
* Tall Stacks, Ohio
