shoppingmall_name,state
Antelope Valley Mall – Palmdale – (1990),California
Arden Fair – Sacramento – (1957),California
Beverly Center – Los Angeles – (1982),California
Brea Mall – Brea – (1977),California
"(3) Del Amo Fashion Center – Torrance – 2,100,000 sq ft (200,000 m2) – (1961)",California
Fashion Fair – Fresno – (1970),California
Galleria at Tyler – Riverside – (1970),California
"(6) Glendale Galleria – Glendale – 1,600,000 sq ft (150,000 m2) – (1976)",California
Hillsdale Shopping Center – San Mateo – (1954),California
Inland Center – San Bernardino – (1966),California
"(4) Lakewood Center – Lakewood – 2,092,700 sq ft (194,420 m2) (1951)",California
Los Cerritos Center – Cerritos – (1971),California
MainPlace Mall – Santa Ana – (1987),California
Montclair Plaza – Montclair – (1968),California
Moreno Valley Mall – Moreno Valley – (1992),California
"NewPark Mall – Newark, California – (1980)",California
Northridge Fashion Center – Northridge – (1971),California
The Oaks – Thousand Oaks – (1978),California
Pacific View Mall – Ventura – (1964),California
Promenade Temecula – Temecula – (1999),California
Santa Rosa Plaza – Santa Rosa – (1983),California
The Shoppes at Carlsbad – Carlsbad – (1969),California
The Shops at Mission Viejo – Mission Viejo – (1979),California
The Shops at Montebello – Montebello – (1985),California
Solano Town Center – Fairfield – (1981),California
"(1) South Coast Plaza – Costa Mesa – 2,800,000 sq ft (260,000 m2) – (1967)",California
Stoneridge Shopping Center – Pleasanton – (1980),California
Stonestown Galleria – San Francisco – (1952),California
Stonewood Center – Downey – (1958),California
Sunvalley Shopping Center – Concord – (1967),California
Valley Plaza Mall – Bakersfield – (1967),California
Vintage Faire Mall – Modesto – (1977),California
"Westfield Culver City – Culver City, California – (1977)",California
Westfield Fashion Square – Sherman Oaks – (1962),California
"(10) Westfield Galleria at Roseville – Roseville – 1,336,009 sq ft (124,119.3 m2) – (2000)",California
Westfield North County – Escondido – (1986),California
Westfield Oakridge – San Jose – (1971),California
Westfield Palm Desert – Palm Desert – (1982),California
Westfield Plaza Bonita – National City – (1981),California
"(7) Westfield San Francisco Centre – San Francisco – 1,564,533 sq ft (145,349.9 m2) – (1988)",California
Westfield Santa Anita – Arcadia – (1974),California
Westfield Topanga – Canoga Park – (1964),California
Westfield Valencia Town Center – Santa Clarita – (1992),California
"(2) Westfield Valley Fair – San Jose – 2,200,000 sq ft (200,000 m2) – (1986)",California
Anaheim GardenWalk – Anaheim,California
Blackhawk Plaza – Danville,California
Broadway Plaza – Walnut Creek,California
"Chula Vista Center – Chula Vista, California",California
City Center Bishop Ranch – San Ramon,California
The Commons at Calabasas – Calabasas,California
Del Monte Center – Monterey,California
Downtown Commons – Sacramento,California
Downtown Disney – Anaheim – (2001),California
Fashion Island – Newport Beach – (1961),California
"(5) Fashion Valley – San Diego – 1,726,000 sq ft (160,400 m2) – (1969)",California
FIGat7th – Los Angeles,California
Fig Garden Village – Fresno,California
The Forum at Carlsbad – Carlsbad,California
The Fountains at Roseville – Roseville,California
The Gardens on El Paseo – Palm Desert,California
Ghiradelli Square – San Francisco,California
Grossmont Center – La Mesa,California
The Grove at Farmers Market – Los Angeles,California
Irvine Spectrum Center – Irvine,California
La Cumbre Plaza – Santa Barbara,California
Malibu Country Mart – Malibu,California
"Malibu Lumber Yard – Malibu, California",California
One Paseo – San Diego,California
Otay Ranch Town Center – Chula Vista,California
"Pacific City – Huntington Beach, California",California
The Palladio at Broadstone – Folsom,California
Paseo Colorado – Pasadena,California
Paseo Nuevo – Santa Barbara,California
Plaza El Segundo – El Segundo,California
The Point – El Segundo,California
The Promenade at Westlake – Westlake Village,California
Promenade on the Peninsula – Rolling Hills Estates,California
The River at Rancho Mirage – Rancho Mirage,California
Santa Monica Place – Santa Monica,California
The Shops at River Park – Fresno,California
Simi Valley Town Center – Simi Valley – (2005),California
"(8) Stanford Shopping Center – Palo Alto – 1,400,000 sq ft (130,000 m2) – (1955)",California
Town Center at Corte Madera – Corte Madera,California
The Village at Corte Madera – Corte Madera,California
Westfield Century City – Los Angeles – (1964),California
Westfield Mission Valley – San Diego – (1961),California
Westfield UTC – San Diego – (1977),California
Country Club Mall - La Vale,Maryland
Arundel Mills - Hanover,Maryland
Marley Station Mall - Glen Burnie,Maryland
Westfield Annapolis - Annapolis,Maryland
Harborplace,Maryland
Mondawmin Mall,Maryland
Reisterstown Road Plaza,Maryland
The Rotunda,Maryland
Eastpoint Mall - Dundalk,Maryland
Security Square Mall - Woodlawn,Maryland
The Shops at Kenilworth - Towson,Maryland
Towson Square,Maryland
Towson Town Center,Maryland
