2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2019),2019 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,372.10,372.10," 1,401,452 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,345.60,345.60," 1,118,136 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,309.89,309.89," 1,035,031 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,367.97,367.97," 980,434 ",,,,,,,,,,,
5,BOS,Logan International,Boston,MA,344.63,344.63," 935,978 ",,,,,,,,,,,
6,SFO,San Francisco International,San Francisco,CA,420.22,420.22," 912,366 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,350.05,350.05," 902,901 ",,,,,,,,,,,
8,EWR,Newark Liberty International,Newark,NJ,411.96,411.96," 849,241 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,401.39,401.39," 819,377 ",,,,,,,,,,,
10,JFK,John F. Kennedy International,New York-JFK,NY,428.12,428.12," 760,592 ",,,,,,,,,,,
11,LGA,LaGuardia,New York-La Guardia,NY,354.24,354.24," 720,310 ",,,,,,,,,,,
12,MCO,Orlando International,Orlando,FL,252.15,252.15," 709,887 ",,,,,,,,,,,
13,PHX,Phoenix Sky Harbor International,Phoenix,AZ,346.10,346.10," 701,600 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,362.92,362.92," 644,236 ",,,,,,,,,,,
15,LAS,McCarran International,Las Vegas,NV,241.32,241.32," 631,585 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,370.51,370.51," 607,992 ",,,,,,,,,,,
17,SAN,San Diego International,San Diego,CA,337.79,337.79," 568,746 ",,,,,,,,,,,
18,DTW,Detroit Metro Wayne County,Detroit,MI,381.97,381.97," 565,317 ",,,,,,,,,,,
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,250.21,250.21," 536,275 ",,,,,,,,,,,
20,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,324.13,324.13," 536,148 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,377.07,377.07," 516,863 ",,,,,,,,,,,
22,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,406.50,406.50," 498,139 ",,,,,,,,,,,
23,PDX,Portland International,Portland,OR,348.23,348.23," 481,330 ",,,,,,,,,,,
24,TPA,Tampa International,Tampa,FL,306.84,306.84," 452,816 ",,,,,,,,,,,
25,AUS,Austin - Bergstrom International,Austin,TX,345.10,345.10," 412,378 ",,,,,,,,,,,
26,SLC,Salt Lake City International,Salt Lake City,UT,375.19,375.19," 391,333 ",,,,,,,,,,,
27,CLT,Charlotte Douglas International,Charlotte,NC,396.25,396.25," 386,574 ",,,,,,,,,,,
28,SJC,Norman Y. Mineta San Jose International,San Jose,CA,304.39,304.39," 384,362 ",,,,,,,,,,,
29,RDU,Raleigh-Durham International,Raleigh/Durham,NC,330.31,330.31," 364,230 ",,,,,,,,,,,
30,MIA,Miami International,Miami,FL,324.40,324.40," 353,159 ",,,,,,,,,,,
31,SMF,Sacramento International,Sacramento,CA,337.44,337.44," 353,135 ",,,,,,,,,,,
32,BNA,Nashville International,Nashville,TN,332.34,332.34," 351,195 ",,,,,,,,,,,
33,MDW,Chicago Midway International,Chicago-Midway,IL,307.49,307.49," 339,365 ",,,,,,,,,,,
34,OAK,Metropolitan Oakland International,Oakland,CA,309.48,309.48," 330,576 ",,,,,,,,,,,
35,STL,St Louis Lambert International,St. Louis,MO,362.83,362.83," 315,638 ",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,371.99,371.99," 299,998 ",,,,,,,,,,,
37,HNL,Daniel K Inouye International,Honolulu,HI,340.27,340.27," 295,221 ",,,,,,,,,,,
