,state,average_airfare
0,TT,900.5966666666667
1,AK,605.1059259259259
2,WY,595.4255555555557
3,ID,533.705
4,ND,510.9244444444444
5,CO,486.8515384615385
6,GA,481.30000000000007
7,MS,472.6114285714285
8,SD,467.896
9,LA,467.65999999999997
10,MI,466.88933333333335
11,KS,464.6371428571428
12,NM,463.7616666666666
13,WI,460.52625
14,AR,459.1585714285714
15,IA,458.908
16,NE,455.49777777777774
17,VA,443.53428571428566
18,MT,441.4523076923077
19,OK,438.87499999999994
20,AL,436.83428571428567
21,TX,431.35961538461527
22,WV,431.28000000000003
23,DC,421.29499999999996
24,ME,421.08833333333337
25,MN,421.01300000000003
26,VT,415.135
27,VI,410.23
28,MA,409.0900000000001
29,TN,405.51599999999996
30,OR,404.61833333333334
31,PA,403.25133333333343
32,IN,402.7225
33,NV,400.77
34,SC,394.7583333333334
35,CT,390.76
36,AZ,386.98625
37,NY,374.39000000000004
38,NC,372.50699999999995
39,MO,371.35777777777776
40,WA,369.6933333333334
41,IL,368.7091666666667
42,KY,367.82
43,CA,363.1537499999999
44,RI,337.63
45,FL,334.701052631579
46,NH,330.5933333333333
47,UT,328.98285714285714
48,OH,322.77
49,MD,316.67333333333335
50,PR,295.005
51,HI,284.8825
52,NJ,230.33
