latitude,longitude,name,state
42.953,-92.875,Ackley Creek County Park,Iowa
41.738,-93.724,Acorn Valley - Saylorville Lake,Iowa
41.498,-94.643,Adair City Park,Iowa
43.12,-92.21,Adolph Munson Park,Iowa
43.09,-92.348,Airport Lake Park,Iowa
42.832,-96.556,Akron City Park,Iowa
41.711,-94.926,Albert the Bull CG,Iowa
42.88,-92.313,Alcock Park,Iowa
42.998,-96.005,Alton Roadside Park,Iowa
43.052,-94.247,Ambrose Call State Park,Iowa
42.026,-93.609,Ames Bandshell City Park,Iowa
43.366,-95.131,Arnolds Park City Park,Iowa
41.432,-95.59,Arrowhead Park,Iowa
41.814,-93.289,Ashton Wildwood Park,Iowa
40.768,-91.968,Austin County Park,Iowa
42.616,-91.56,Backbone State Park,Iowa
42.447,-91.411,Baileys Ford,Iowa
42.56,-90.953,Bankston Park,Iowa
42.583,-92.787,Beaver Meadows Co Park,Iowa
42.768,-93.236,Beeds Lake State Park,Iowa
42.247,-90.423,Bellevue State Park,Iowa
42.34,-93.889,Bells Mills County Park,Iowa
41.386,-92.151,Belva - Deer Rec Area,Iowa
41.746,-90.922,Bennett Park,Iowa
42.162,-91.918,Benton City  -  Fry Area,Iowa
40.725,-91.852,Bentonsport,Iowa
42.526,-93.386,Bessman-Kemp Co Park,Iowa
40.952,-91.226,Big Hollow Creek Park,Iowa
42.556,-92.434,Big Woods Lake,Iowa
42.306,-96.326,Bigelow County Park,Iowa
42.563,-92.478,Black Hawk County Park,Iowa
42.292,-95.017,Black Hawk State Park,Iowa
43.044,-91.212,Bloody Run County Park,Iowa
41.701,-93.685,Bob Shetler - Saylorville Lake,Iowa
40.708,-93.398,Bobwhite State Park,Iowa
41.396,-95.363,Botna Bend County Park,Iowa
42.236,-93.04,Brekke Memorial Park,Iowa
40.876,-93.012,Bridgeview - Rathbun Lake,Iowa
42.432,-93.802,Briggs Woods Park,Iowa
41.224,-91.85,Brinton Timber,Iowa
42.306,-96.326,Browns Lake  -  Bigelow Park,Iowa
42.306,-96.326,Browns Lake Bigelow Park,Iowa
42.394,-93.983,Brushy Creek  State Rec Area,Iowa
40.85,-92.869,Buck Creek - Rathbun Lake,Iowa
42.879,-91.209,Buck Creek County Park,Iowa
42.884,-95.338,Buena Vista Co Park,Iowa
42.471,-91.687,Buffalo Creek Area,Iowa
42.287,-91.542,Buffalo Creek County Park,Iowa
41.454,-90.745,Buffalo Shores County Park,Iowa
41.935,-90.182,Bulgers Hollow - Mississippi River,Iowa
42.637,-96.319,Bur Oak - Hillview County Rec Area,Iowa
43.488,-94.401,Burt Lake County Park,Iowa
42.844,-92.761,Camp Comfort,Iowa
42.308,-95.043,Camp Crescent Park,Iowa
41.162,-91.014,Cappy Russell Access,Iowa
41.237,-95.424,Carson City Park,Iowa
41.509,-94.517,Casey City Park - Abram Rutt,Iowa
42.76,-92.494,Cedar Bend Park,Iowa
43.283,-92.855,Cedar Bridge County Park,Iowa
41.258,-92.859,Cedar Creek Access,Iowa
41.721,-91.235,Cedar Valley Co Park,Iowa
42.959,-92.548,Cedar View Park,Iowa
42.11,-91.138,Central Park,Iowa
41.303,-92.206,Chacauqua River Access,Iowa
42.738,-95.557,Cherokee City Park,Iowa
41.732,-93.68,Cherry Glen - Saylorville Lake,Iowa
41.791,-93.429,Chichaqua Bottoms Greenbelt,Iowa
43.033,-92.503,Chickasaw Park,Iowa
43.07,-96.17,Childrens Park,Iowa
43.423,-91.939,Chimney Rock County Park,Iowa
40.863,-93.499,Cinder Path RV Park,Iowa
41.458,-90.809,Clarks Ferry - Mississippi River,Iowa
43.111,-93.389,Clear Lake State Park,Iowa
42.351,-95.476,Cobb City Park,Iowa
41.255,-95.136,Cocklin Fish Farm,Iowa
42.494,-91.534,Coffins Grove,Iowa
41.291,-95.084,Cold Spring Park,Iowa
43.156,-92.642,Colwell County Park,Iowa
42.624,-94.465,Coopers Cove Co Park,Iowa
40.751,-93.335,Corydon Lake Co Park,Iowa
41.723,-91.53,Cottonwood - Coralville Lake,Iowa
42.275,-95.601,Crawford Creek County Rec Area,Iowa
41.213,-94.044,Criss Cove County Park,Iowa
42.478,-93.19,Cross Ford River Access,Iowa
43.23,-93.783,Crystal Lake Park,Iowa
42.544,-92.063,Cutshall Area,Iowa
43.465,-93.573,Dahle Park,Iowa
42.249,-93.043,Daisy Long County Park,Iowa
42.171,-93.292,Dakins Lake County Park,Iowa
41.629,-94.019,Dallas County Fairgrounds,Iowa
42.28,-93.068,David Bates Memorial Park,Iowa
42.009,-96.189,Decatur Bend Access,Iowa
41.96,-90.47,Deep Creek,Iowa
42.643,-96.325,Deer Ridge - Hillview County Rec Area,Iowa
42.462,-92.303,Deerwood City Park,Iowa
41.826,-95.338,Defiance RV Park,Iowa
42.95,-94.233,Devine Wildlife Area,Iowa
41.593,-92.542,Diamond Lake County Park,Iowa
42.118,-94.687,Dickson Timber County Park,Iowa
42.935,-95.474,Dog Creek Co Park,Iowa
42.387,-94.083,Dolliver Memorial State Park,Iowa
42.12,-94.027,Don Williams Park,Iowa
43.163,-95.705,Douma Co Park,Iowa
42.741,-92.046,Downing County Park,Iowa
42.654,-93.508,Dows Pool Park,Iowa
40.802,-92.479,Drakesville City Park,Iowa
42.523,-90.641,Dubuque Yacht Basin and RV Park,Iowa
42.996,-91.771,Duttons Cave Co Park,Iowa
42.472,-93.146,Eagle City County Park,Iowa
41.033,-93.744,East Lake Co Park,Iowa
43.134,-95.138,East Leach City Park,Iowa
42.047,-90.855,Eden Valley Park,Iowa
41.68,-91.551,Edgewater City Park,Iowa
42.645,-91.399,Edgewood Campground,Iowa
42.739,-94.669,Elbert Park,Iowa
42.941,-93.56,Eldred Sherwood Park,Iowa
41.399,-93.086,Elk Rock State Park,Iowa
42.852,-91.398,Elkader City Park,Iowa
41.57,-95.09,Elkhorn Creek Rec Area,Iowa
43.355,-95.175,Emerson Bay State Rec Area,Iowa
41.235,-92.734,Eveland Access,Iowa
41.733,-91.725,F. W. Kent County Park,Iowa
41.433,-90.924,Fairport State Rec Area,Iowa
42.495,-94.628,Featherstone County Park,Iowa
41.162,-91.008,Ferry Landing,Iowa
40.737,-94.24,Fifes Grove Co Park,Iowa
42.324,-90.908,Fillmore County Rec Area,Iowa
42.654,-90.806,Finleys Landing City Park,Iowa
41.27,-91.118,Flaming Prairie Park,Iowa
42.604,-91.908,Fontana County Park,Iowa
42.158,-93.046,Forest Reserve - Marshalltown,Iowa
42.614,-91.311,Fountain Springs County Park,Iowa
41.063,-90.968,Fourth Pumping Plant Rec Area,Iowa
42.677,-94.207,Frank A Gotch Park,Iowa
42.852,-91.106,Frenchtown County Park,Iowa
42.908,-91.471,Friedens County Park,Iowa
41.268,-95.917,Friendship City Park,Iowa
43.393,-94.865,Ft. Defiance State Park,Iowa
42.506,-95.414,Galva City Park,Iowa
42.886,-93.222,Galvin Memorial Park,Iowa
42.938,-92.85,Gates Bridge County Park,Iowa
40.824,-91.383,Geode State Park,Iowa
43.054,-92.946,George Wyatt City Park,Iowa
42.536,-92.396,George Wyth State Park,Iowa
42.959,-91.632,Gilbertson Conservation Education Area,Iowa
41.343,-92.592,Glendale Access,Iowa
41.048,-95.734,Glenwood Lake Park,Iowa
43.041,-91.837,Goeken Co Park,Iowa
42.551,-94.689,Gordon Prange City Park,Iowa
43.009,-91.957,Gouldsburg County Park,Iowa
42.168,-93.033,Grammer Grove Wildlife Area,Iowa
42.264,-94.893,Grant County Park,Iowa
40.79,-91.362,Grays Landing,Iowa
41.9,-95.081,Great Western Co Park,Iowa
41.115,-94.383,Green Valley State Park,Iowa
42.893,-92.802,Greene Rec Area - Camp Comfort,Iowa
43.371,-95.165,Gull Point State Park,Iowa
40.984,-94.967,Hacklebarney Woods County Park,Iowa
42.385,-94.998,Hagge County Park,Iowa
43.354,-92.923,Halvorson Park,Iowa
41.863,-92.112,Hannen County Park,Iowa
43.119,-92.411,Haus Park,Iowa
43.003,-96.488,Hawarden City Park,Iowa
41.988,-94.37,Henderson Co Park,Iowa
41.99,-93.353,Hickory Grove County Park,Iowa
42.27,-92.311,Hickory Hills Park -  La Porte City,Iowa
41.18,-93.609,Hickory Hills Park - New Virginia,Iowa
41.555,-91.521,Hills Access,Iowa
43.191,-95.853,Hills Park - Sheldon,Iowa
42.637,-96.319,Hillview County Rec Area,Iowa
41.413,-95.857,Hitchcock County Nature Center,Iowa
42.164,-91.976,Hoefle - Dulin Area County Park,Iowa
42.614,-91.311,Holbert Park,Iowa
40.861,-92.928,Honey Creek State Park,Iowa
40.943,-93.997,Hopeville Square Co Park,Iowa
42.055,-90.664,Horseshoe Pond,Iowa
42.985,-92.559,Howards Woods,Iowa
41.365,-92.973,Howell Station - Red Rock Lake,Iowa
40.391,-91.38,Hubinger Landing Park,Iowa
41.925,-96.134,Huff - Warner Access Area,Iowa
42.113,-94.575,Hyde Park,Iowa
42.348,-95.467,Ida Grove City Park,Iowa
42.461,-91.891,Independence City RV Park,Iowa
40.633,-91.752,Indian Lake Park,Iowa
40.724,-91.236,Indian Path Park,Iowa
42.943,-93.377,Ingebretson County Park,Iowa
43.319,-92.881,Interstate Co Park,Iowa
43.491,-94.459,Iowa Lake Co Campground,Iowa
43.5,-95.455,Iowa Lake Co Park,Iowa
42.846,-93.617,Iowa River RV Park,Iowa
41.599,-93.551,Iowa State Fairgrounds,Iowa
43.436,-96.171,Island Park - Rock Rapids,Iowa
41.621,-94.014,Island Park Co Park,Iowa
40.827,-92.906,Island View - Rathbun Lake,Iowa
41.368,-92.981,Ivans - Red Rock Lake,Iowa
42.599,-91.741,Jakway County Park,Iowa
40.993,-91.988,Jefferson County Park,Iowa
41.78,-93.775,Jester County Park,Iowa
42.731,-94.261,Joe Sheldon County Park,Iowa
42.079,-90.751,Joinerville County Park,Iowa
42.677,-91.597,Joy Springs County Park,Iowa
43.122,-94.68,Kearny Park,Iowa
42.583,-94.192,Kennedy County Park,Iowa
42.844,-91.816,Klocks Island Park,Iowa
40.792,-94.339,Kokesh Co Park,Iowa
42.704,-95.554,Koser Spring Lake Park,Iowa
40.709,-91.981,Lacey - Keosauqua State Park,Iowa
41.296,-93.583,Lake Ahquabi State Park,Iowa
41.433,-94.762,Lake Anita State Park,Iowa
41.003,-94.711,Lake Binder Co Park,Iowa
42.716,-92.917,Lake Considine,Iowa
42.793,-93.692,Lake Cornelia Park,Iowa
41.192,-91.896,Lake Darling State Park,Iowa
40.759,-92.446,Lake Fisher,Iowa
43.373,-92.55,Lake Hendricks Co Park,Iowa
41.056,-94.735,Lake Icaria Co Park,Iowa
41.636,-92.182,Lake Iowa County Park,Iowa
41.29,-92.541,Lake Keomah State Park,Iowa
41.798,-91.577,Lake Macbride State Park,Iowa
41.197,-95.854,Lake Manawa State Park,Iowa
43.173,-91.911,Lake Meyer County Park,Iowa
40.713,-94.684,Lake of Three Fires State Park,Iowa
41.2,-94.437,Lake Orient Rec Area,Iowa
43.386,-96.465,Lake Pahoja Rec Area,Iowa
40.683,-91.994,Lake Sugema County Park,Iowa
40.816,-92.589,Lake Wapello State Park,Iowa
40.877,-93.504,Lakeside Co Park,Iowa
42.73,-95.388,Larson Lake Co Park,Iowa
41.983,-93.887,Ledges State Park,Iowa
41.023,-95.23,Legion City Park,Iowa
40.715,-92.886,Lelah Bradley Park,Iowa
41.687,-94.57,Lenon Mill Co Park,Iowa
42.027,-96.162,Lewis and Clark State Park,Iowa
43.466,-92.279,Lidtke Park,Iowa
43.184,-93.194,Lime Creek Conservation Area - Mason City,Iowa
42.327,-91.981,Lime Creek Park - Brandon,Iowa
41.725,-91.543,Linder Point - Coralville Lake,Iowa
42.979,-93.196,Linn Grove County Park,Iowa
