id,name,city,latitude,longitude,province,ratings_average,ratings_count
AV--lQdFRxPSIh2RmtbT,Best Western Mission Bay,San Diego,32.7895,-117.204,CA,3.782608695652174,69
AV--lmxKIxWefVJwsReI,Song of the Sea,Sanibel,26.4425,-82.0339,FL,5.0,1
AV--luVA3-Khe5l_ZMEJ,Shalimar Cottages Motel,Sanibel,26.423471000000003,-82.08868000000001,FL,5.0,1
AV-AN728a4HuVbedGQnJ,Renaissance Atlanta Waverly Hotel & Convention Center,Atlanta,33.8846,-84.4651,GA,4.111111111111111,90
AV-Cilg2a4HuVbedGQqK,Hampton Inn Suites Bremerton,Bremerton,47.563829999999996,-122.62473,WA,4.333333333333333,6
AV-EJjTE3-Khe5l_YonZ,Hampton Inn Suites Chincoteague-waterfront,Chincoteague Island,37.93587,-75.37442,VA,4.913043478260869,23
AV-EJzYYIxWefVJwrugd,Refuge Inn,Chincoteague Island,37.92453,-75.35403000000001,VA,5.0,4
AV0Vkqa7LD2H7whiYpcC,Hyatt Place Indianapolis/keystone,Indianapolis,39.919964,-86.10963000000001,IN,5.0,1
AV0X1Zp8FcQ3k02bEKT7,Embassy Suites by Hilton Tuscaloosa Alabama Downtown,Tuscaloosa,33.21,-87.569,AL,5.0,1
AV0XuC_g3D1zeR_xDsmA,Onalaska Inn,Onalaska,43.87643,-91.23062,WI,4.0,1
AV0Xx7K43D1zeR_xDuwc,Rodeway Inn Suites,Riverton,43.024167999999996,-108.398296,WY,3.0,1
AV0Z8ufJFcQ3k02bEjUJ,Comfort Inn & Suites,Amarillo,35.1887,-101.94,TX,5.0,1
AV0ZGbylLD2H7whiZCuR,Fairfield Inn by Marriott Owensboro,Owensboro,37.7257,-87.1217,KY,4.333333333333333,3
AV0ZK-4P3D1zeR_xEAHu,Microtel Inn & Suites By Wyndham Shelbyville,Shelbyville,35.5009,-86.4584,TN,5.0,1
AV0ZPE6L3D1zeR_xEBj6,Quillayute River Resort LLC,Forks,47.9151,-124.5449,WA,5.0,1
AV0aA9vR3D1zeR_xEMm5,Hampton Inn Alice,Alice,27.769816,-98.039447,TX,3.0,2
AV0aPNCr3D1zeR_xESvg,Hampton Inn Kalispell,Kalispell,48.1987,-114.3328,MT,5.0,2
AV0yKP88FcQ3k02bFIts,Comfort Inn & Suites Seattle,Seattle,47.728848,-122.34465,WA,4.5,2
AV0yKQ9UFcQ3k02bFIut,Aston Waikiki Circle Hotel,Honolulu,21.2749,-157.8241,HI,4.25,4
AV1Tpbi5-gnIPe8DWWUp,Pacific Terrace Hotel,San Diego,32.7995,-117.2579,CA,5.0,1
AV1TpbqhFcQ3k02bFOoh,Pacific View Inn,San Diego,32.7984,-117.2571,CA,3.888888888888889,9
AV1Tpgl3FcQ3k02bFPgm,Chicago Marriott at Medical District/UIC,Chicago,41.8737,-87.6663,IL,3.88,25
AV1Tpgs8LD2H7whiZ5tP,Lemon Tree Hotel Suites,Anaheim,33.8393,-117.89513400000001,CA,3.0,5
AV1TphlP-gnIPe8DWXaJ,Orchid Key Inn,Key West,24.550620000000002,-81.79942,FL,4.888888888888889,72
AV1TpjGm-gnIPe8DWXqu,The Bryant Park Hotel,New York,40.75282,-73.98376,NY,5.0,2
AV1TpkL0FcQ3k02bFQJQ,Holiday Inn Express New York City Times Square,New York,40.7564,-73.9931,NY,4.116279069767442,43
AV1TrxK2-gnIPe8DWo6q,Hotel Abri,San Francisco,37.785270000000004,-122.40836999999999,CA,4.14,100
AV1Ts5IFLD2H7whiaPiu,Homewood Suites by Hilton Lake Buena Vista-Orlando,Orlando,28.392865999999998,-81.49249,FL,4.122950819672131,122
AV1Ts63z3D1zeR_xFH6n,JW Marriott Atlanta Buckhead,Atlanta,33.8456,-84.3599,GA,4.1441441441441444,111
AV1ZVnHEFcQ3k02bF0oG,Pine Point Lodge,Iron River,46.498999999999995,-91.3525,WI,5.0,1
AV1b9WNYFcQ3k02bF8xu,Comfort Inn,Kennewick,46.22306,-119.22616000000001,WA,4.0,1
AV1c-oCPIxWefVJweqoH,Quincy Inn and Suites,Quincy,47.232943,-119.86151299999999,WA,1.0,1
AV1c3L_zRxPSIh2RYnrE,Groveland Hotel,Groveland,37.8393,-120.2296,CA,3.0,1
AV1c7jceIxWefVJweeGK,Courtyard Ogden,Ogden,41.222145000000005,-111.974531,UT,3.0,1
AV1c9uj9RxPSIh2RZELQ,Aloft Atlanta Downtown,Atlanta,33.762658,-84.389599,GA,4.066666666666666,15
AV1db6fKIxWefVJwe7Pq,Budget Inn North Kingstown,North Kingstown,41.585487,-71.461399,RI,1.0,1
AV1dcvYH3-Khe5l_Msan,Best Western Sandman Motel,Sacramento,38.5943,-121.5051,CA,3.0,2
AV1eRXa0a4HuVbed6sOu,Hilton Garden Inn Oxnard/Camarillo,Oxnard,34.2213,-119.1441,CA,5.0,1
AV1eS19z3-Khe5l_NEUo,Beachcomber By The Sea,Panama City Beach,30.221949,-85.889282,FL,4.666666666666667,3
