state,abbr,states_value,Latitude,Longitude
Alabama,al,1.15,32.31823,-86.902298
Alaska,ak,0.95,66.160507,-153.369141
Arizona,az,1.04,34.048927,-111.093735
Arkansas,ar,1.14,34.799999,-92.199997
California,ca,0.88,36.778259,-119.417931
Colorado,co,0.97,39.113014,-105.358887
Connecticut,ct,0.92,41.599998,-72.699997
Delaware,de,1,39,-75.5
Florida,fl,1.01,27.994402,-81.760254
Georgia,ga,1.08,33.247875,-83.441162
Hawaii,hi,0.84,19.741755,-155.844437
Idaho,id,1.07,44.068203,-114.742043
Illinois,il,1,40,-89
Indiana,in,1.1,40.273502,-86.126976
Iowa,ia,1.11,42.032974,-93.581543
Kansas,ks,1.11,38.5,-98
Kentucky,ky,1.13,37.839333,-84.27002
Louisiana,la,1.1,30.39183,-92.329102
Maine,me,1.02,45.367584,-68.972168
Maryland,md,0.91,39.045753,-76.641273
Massachusetts,ma,0.94,42.407211,-71.382439
Michigan,mi,1.07,44.182205,-84.506836
Minnesota,mn,1.03,46.39241,-94.63623
Mississippi,ms,1.16,33,-90
Missouri,mo,1.12,37.9,-91.83
Montana,mt,1.05,46.96526,-109.533691
Nebraska,ne,1.1,41.5,-100
Nevada,nv,1.02,39.876019,-117.224121
New Hampshire,nh,0.95,44,-71.5
New Jersey,nj,0.88,39.833851,-74.871826
New Mexico,nm,1.06,34.307144,-106.018066
New York,ny,0.87,43,-75
North Carolina,nc,1.1,35.782169,-80.793457
North Dakota,nd,1.08,47.650589,-100.437012
Ohio,oh,1.12,40.367474,-82.996216
Oklahoma,ok,1.11,36.084621,-96.921387
Oregon,or,1.01,44,-120.5
Pennsylvania,pa,1.02,41.203323,-77.194527
Rhode Island,ri,1.01,41.700001,-71.5
South Carolina,sc,1.11,33.836082,-81.163727
South Dakota,sd,1.13,44.5,-100
Tennessee,tn,1.11,35.860119,-86.660156
Texas,tx,1.03,31,-100
Utah,ut,1.03,39.41922,-111.950684
Vermont,vt,0.98,44,-72.699997
Virginia,va,0.98,37.926868,-78.024902
Washington,wa,0.95,47.75,-120.74
West Virginia,wv,1.12,39,-80.5
Wisconsin,wi,1.07,44.5,-89.5
Wyoming,wy,1.04,43.07597,-107.290283
